D1-1,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D2-1,D2-2,D2-3,D2-4,D2-5,D2-6,D2-7,DAT,D,DT,DD
12.28807099,11.46862958,13.54900725,12.16496962,11.46862958,12.19264891,10.63659179,11.0668192,14.72395442,12.20641816,11.229212,12.63673986,13.6188241,13.64841969,14.72395442,1,12.28807099,1
10.35558076,10.71873374,11.28180928,11.04832821,11.35081439,11.61496344,9.766981117,11.0297439,13.02711125,12.0236568,10.85809657,11.67826258,11.13987147,12.27457501,13.64841969,1,10.35558076,2
10.28737345,10.6573058,10.17058525,10.48808848,10.93538328,10.14673846,9.397744871,10.75910633,11.92169049,10.24113689,10.79902949,11.46862958,9.793703613,11.2468265,13.6188241,1,10.28737345,3
9.601845894,10.12272234,10.09853407,9.949620564,10.61575606,10.02490679,9.274872111,10.46635139,11.58292185,9.820209143,10.77912336,10.71873374,9.766981117,11.10352557,13.54900725,1,9.601845894,4
9.080865185,9.080865185,9.924141173,9.793703613,10.59479691,9.685469281,9.080865185,9.629962874,10.07417072,9.080865185,10.77912336,10.40031433,9.427722109,10.79902949,13.02711125,1,9.080865185,5
8.764214596,8.9790076,9.793703613,9.211558703,10.14673846,9.573479717,9.047293945,9.51597874,9.974905699,8.94427191,9.243378033,10.12272234,9.367477989,10,12.63673986,1,8.764214596,6
8.764214596,8.9790076,9.766981117,9.179406175,10,9.146912192,9.013344776,9.397744871,9.601845894,8.764214596,9.080865185,10.12272234,9.243378033,9.924141173,12.28807099,1,8.764214596,7
8.235490261,8.909126744,9.51597874,8.909126744,9.629962874,9.080865185,8.94427191,9.243378033,9.114068171,8.688978326,8.9790076,9.949620564,8.801117368,9.712868336,12.27457501,1,8.235490261,8
8.050304776,8.801117368,8.94427191,8.532355999,9.427722109,8.801117368,8.94427191,8.726839695,8.94427191,8.6117353,8.9790076,9.712868336,8.726839695,9.397744871,12.20641816,1,8.050304776,9
8.050304776,8.235490261,8.6117353,8.491821095,9.243378033,8.688978326,8.873560657,8.6117353,8.909126744,8.572321289,8.873560657,9.685469281,8.726839695,9.274872111,12.19264891,1,8.050304776,10
7.902529974,8.190362588,8.572321289,8.491821095,9.243378033,8.366600265,8.801117368,8.572321289,8.801117368,8.00195241,8.279888043,9.336914848,8.650615454,9.179406175,12.16496962,1,7.902529974,11
7.902529974,7.79920671,8.366600265,8.450697266,8.9790076,8.235490261,8.650615454,8.450697266,8.764214596,7.902529974,8.190362588,9.274872111,8.572321289,8.837561698,12.0236568,1,7.902529974,12
7.851378225,7.636066982,8.323582901,8.323582901,8.94427191,8.144476399,8.650615454,8.408964153,8.6117353,7.902529974,8.190362588,9.243378033,8.366600265,8.572321289,11.92169049,1,7.851378225,13
7.79920671,7.636066982,8.235490261,8.190362588,8.873560657,8.00195241,8.532355999,8.279888043,8.572321289,7.902529974,8.190362588,9.211558703,8.190362588,8.050304776,11.67826258,1,7.79920671,14
7.79920671,7.579289311,8.235490261,8.144476399,8.801117368,7.952707288,8.491821095,8.279888043,8.450697266,7.851378225,8.00195241,8.9790076,8.050304776,8.00195241,11.61496344,1,7.79920671,15
7.79920671,7.521206186,8.235490261,8.09780126,8.408964153,7.952707288,8.450697266,8.235490261,8.366600265,7.851378225,7.902529974,8.94427191,7.952707288,7.902529974,11.58292185,1,7.79920671,16
